,Район,Улица,Ссылка
28,Дзержинский,Биатлонный 2-й,https://nsk.ginfo.ru/ulicy/2-y_biatlonnyy_pereulok/
29,Дзержинский,Биатлонный 3-й,https://nsk.ginfo.ru/ulicy/3-y_biatlonnyy_pereulok/
30,Дзержинский,Благодатная,https://nsk.ginfo.ru/ulicy/blagodatnaya_ulica/
31,Дзержинский,Боевая,https://nsk.ginfo.ru/ulicy/boevaya_ulica/
32,Дзержинский,Боевой,https://nsk.ginfo.ru/ulicy/boevoy_pereulok/
33,"Дзержинский, Октябрьский",Бориса Богаткова,https://nsk.ginfo.ru/ulicy/ulica_borisa_bogatkova/
34,Дзержинский,Бродского,https://nsk.ginfo.ru/ulicy/ulica_brodskogo/
35,Дзержинский,В,https://nsk.ginfo.ru/ulicy/alleya_v/
36,Дзержинский,Василия Сныткина,https://nsk.ginfo.ru/ulicy/ulica_vasiliya_snytkina/
37,Дзержинский,Васнецова,https://nsk.ginfo.ru/ulicy/ulica_vasnecova/
38,Дзержинский,Верещагина,https://nsk.ginfo.ru/ulicy/pereulok_vereschagina/
39,Дзержинский,Виктора Звонарева,https://nsk.ginfo.ru/ulicy/ulica_viktora_zvonareva/
40,Дзержинский,Водник,https://nsk.ginfo.ru/ulicy/snt_vodnik/
41,"Дзержинский, Калининский, Октябрьский",Войкова,https://nsk.ginfo.ru/ulicy/tupik_voykova/
42,Дзержинский,Волжская,https://nsk.ginfo.ru/ulicy/volzhskaya_ulica/
43,Дзержинский,Волжский,https://nsk.ginfo.ru/ulicy/volzhskiy_pereulok/
44,"Дзержинский, Октябрьский",Волочаевская,https://nsk.ginfo.ru/ulicy/volochaevskaya_ulica/
45,Дзержинский,Волочаевский,https://nsk.ginfo.ru/ulicy/volochaevskiy_pereulok/
46,Дзержинский,Воронежская,https://nsk.ginfo.ru/ulicy/voronezhskaya_ulica/
47,Дзержинский,Воронежский,https://nsk.ginfo.ru/ulicy/voronezhskiy_pereulok/
48,Дзержинский,Высотная,https://nsk.ginfo.ru/ulicy/vysotnaya_ulica/
49,Дзержинский,Высотная 1-я,https://nsk.ginfo.ru/ulicy/1-ya_vysotnaya_ulica/
50,Дзержинский,Г,https://nsk.ginfo.ru/ulicy/alleya_g/
51,Дзержинский,Гармоничная,https://nsk.ginfo.ru/ulicy/garmonichnaya_ulica/
52,Дзержинский,Геологическая,https://nsk.ginfo.ru/ulicy/geologicheskaya_ulica/
53,Дзержинский,Георгия Чекиса,https://nsk.ginfo.ru/ulicy/ulica_georgiya_chekisa/
54,Дзержинский,Геофизическая,https://nsk.ginfo.ru/ulicy/geofizicheskaya_ulica/
55,Дзержинский,Гладкова,https://nsk.ginfo.ru/ulicy/ulica_gladkova/
56,Дзержинский,Глинки,https://nsk.ginfo.ru/ulicy/ulica_glinki/
57,"Дзержинский, Железнодорожный, Центральный",Гоголя,https://nsk.ginfo.ru/ulicy/ulica_gogolya/
58,Дзержинский,Горнолыжная,https://nsk.ginfo.ru/ulicy/gornolyzhnaya_ulica/
59,Дзержинский,Грекова,https://nsk.ginfo.ru/ulicy/tupik_grekova/
60,Дзержинский,Грекова 1-й,https://nsk.ginfo.ru/ulicy/1-y_pereulok_grekova/
61,Дзержинский,Грекова 2-й,https://nsk.ginfo.ru/ulicy/2-y_pereulok_grekova/
62,"Дзержинский, Октябрьский",Гусинобродский Тракт,https://nsk.ginfo.ru/ulicy/ulica_gusinobrodskiy_trakt/
63,"Дзержинский, Октябрьский",Гусинобродское,https://nsk.ginfo.ru/ulicy/gusinobrodskoe_shosse/
64,Дзержинский,Д,https://nsk.ginfo.ru/ulicy/alleya_d/
65,Дзержинский,Давыдовского,https://nsk.ginfo.ru/ulicy/pereulok_davydovskogo/
66,Дзержинский,Дарьяльская,https://nsk.ginfo.ru/ulicy/daryalskaya_ulica/
67,Дзержинский,Даурская,https://nsk.ginfo.ru/ulicy/daurskaya_ulica/
68,Дзержинский,Дегтярева,https://nsk.ginfo.ru/ulicy/ulica_degtyareva/
69,Дзержинский,Дежнева,https://nsk.ginfo.ru/ulicy/pereulok_dezhneva/
70,"Дзержинский, Калининский",Дениса Давыдова,https://nsk.ginfo.ru/ulicy/ulica_denisa_davydova/
71,"Дзержинский, Железнодорожный, Центральный",Державина,https://nsk.ginfo.ru/ulicy/ulica_derzhavina/
72,Дзержинский,Джамбула,https://nsk.ginfo.ru/ulicy/ulica_dzhambula/
73,"Дзержинский, Центральный",Дзержинского,https://nsk.ginfo.ru/ulicy/prospekt_dzerzhinskogo/
74,Дзержинский,Динамичная,https://nsk.ginfo.ru/ulicy/dinamichnaya_ulica/
75,"Дзержинский, Октябрьский",Доватора,https://nsk.ginfo.ru/ulicy/ulica_dovatora/
76,Дзержинский,Доватора 1-й,https://nsk.ginfo.ru/ulicy/1-y_pereulok_dovatora/
77,Дзержинский,Доватора 2-й,https://nsk.ginfo.ru/ulicy/2-y_pereulok_dovatora/
78,Дзержинский,Докучаева,https://nsk.ginfo.ru/ulicy/ulica_dokuchaeva/
79,Дзержинский,Достижений,https://nsk.ginfo.ru/ulicy/ulica_dostizheniy/
80,Дзержинский,Е,https://nsk.ginfo.ru/ulicy/alleya_e/
81,Дзержинский,Евгения Глинского,https://nsk.ginfo.ru/ulicy/ulica_evgeniya_glinskogo/
82,Дзержинский,Европейская,https://nsk.ginfo.ru/ulicy/evropeyskaya_ulica/
83,"Дзержинский, Октябрьский",Есенина,https://nsk.ginfo.ru/ulicy/ulica_esenina/
84,Дзержинский,Ж,https://nsk.ginfo.ru/ulicy/alleya_zh/
85,"Дзержинский, Центральный",Журинская,https://nsk.ginfo.ru/ulicy/zhurinskaya_ulica/
86,Дзержинский,Журинский,https://nsk.ginfo.ru/ulicy/zhurinskiy_spusk/
87,Дзержинский,Забайкальская,https://nsk.ginfo.ru/ulicy/zabaykalskaya_ulica/
88,"Дзержинский, Октябрьский",Закаменский,https://nsk.ginfo.ru/ulicy/mikrorayon_zakamenskiy/
89,Дзержинский,Заречный,https://nsk.ginfo.ru/ulicy/snt_zarechnyy/
90,Дзержинский,Заря,https://nsk.ginfo.ru/ulicy/st_zarya/
91,Дзержинский,Заслонова,https://nsk.ginfo.ru/ulicy/ulica_zaslonova/
92,Дзержинский,Защитников Отечества,https://nsk.ginfo.ru/ulicy/ulica_zaschitnikov_otechestva/
93,Дзержинский,Зейская,https://nsk.ginfo.ru/ulicy/zeyskaya_ulica/
94,"Дзержинский, Октябрьский",Зеленодолинская,https://nsk.ginfo.ru/ulicy/zelenodolinskaya_ulica/
95,Дзержинский,Зеленхозовская,https://nsk.ginfo.ru/ulicy/zelenhozovskaya_ulica/
96,Дзержинский,Зеленхозовская 2-я,https://nsk.ginfo.ru/ulicy/2-ya_zelenhozovskaya_ulica/
97,Дзержинский,Зеленхозовский 2-й,https://nsk.ginfo.ru/ulicy/2-y_zelenhozovskiy_pereulok/
98,Дзержинский,Зеленхозовский 3-й,https://nsk.ginfo.ru/ulicy/3-y_zelenhozovskiy_pereulok/
99,Дзержинский,Золотая Горка,https://nsk.ginfo.ru/ulicy/st_zolotaya_gorka/
100,Дзержинский,Ивана Маланина,https://nsk.ginfo.ru/ulicy/ulica_ivana_malanina/
101,Дзержинский,Ивана Салащенко,https://nsk.ginfo.ru/ulicy/ulica_ivana_salaschenko/
102,Дзержинский,Извилистая,https://nsk.ginfo.ru/ulicy/izvilistaya_ulica/
103,Дзержинский,Индустриальная,https://nsk.ginfo.ru/ulicy/industrialnaya_ulica/
104,Дзержинский,К,https://nsk.ginfo.ru/ulicy/alleya_k/
105,Дзержинский,Кавалькадная,https://nsk.ginfo.ru/ulicy/kavalkadnaya_ulica/
106,Дзержинский,Калужская,https://nsk.ginfo.ru/ulicy/kaluzhskaya_ulica/
107,Дзержинский,Калужский 1-й,https://nsk.ginfo.ru/ulicy/1-y_kaluzhskiy_pereulok/
108,Дзержинский,Калужский 2-й,https://nsk.ginfo.ru/ulicy/2-y_kaluzhskiy_pereulok/
109,Дзержинский,Калужский 3-й,https://nsk.ginfo.ru/ulicy/3-y_kaluzhskiy_pereulok/
110,Дзержинский,Калужский 4-й,https://nsk.ginfo.ru/ulicy/4-y_kaluzhskiy_pereulok/
111,Дзержинский,Калужский 5-й,https://nsk.ginfo.ru/ulicy/5-y_kaluzhskiy_pereulok/
112,Дзержинский,Калужский 6-й,https://nsk.ginfo.ru/ulicy/6-y_kaluzhskiy_pereulok/
113,Дзержинский,Калужский 7-й,https://nsk.ginfo.ru/ulicy/7-y_kaluzhskiy_pereulok/
114,Дзержинский,Калужский 8-й,https://nsk.ginfo.ru/ulicy/8-y_kaluzhskiy_pereulok/
115,Дзержинский,Калужский 9-й,https://nsk.ginfo.ru/ulicy/9-y_kaluzhskiy_pereulok/
116,Дзержинский,Каменский Тракт,https://nsk.ginfo.ru/ulicy/ulica_kamenskiy_trakt/
117,Дзержинский,Каменское,https://nsk.ginfo.ru/ulicy/kamenskoe_shosse/
118,Дзержинский,Камчатская,https://nsk.ginfo.ru/ulicy/kamchatskaya_ulica/
119,Дзержинский,Караваева,https://nsk.ginfo.ru/ulicy/ulica_karavaeva/
120,Дзержинский,Карбышева,https://nsk.ginfo.ru/ulicy/ulica_karbysheva/
121,Дзержинский,Карьерный Лог,https://nsk.ginfo.ru/ulicy/pereulok_karernyy_log/
122,Дзержинский,Каширская,https://nsk.ginfo.ru/ulicy/kashirskaya_ulica/
123,Дзержинский,Керамическая,https://nsk.ginfo.ru/ulicy/keramicheskaya_ulica/
124,Дзержинский,Кирзавод 1-й,https://nsk.ginfo.ru/ulicy/ulica_1-y_kirzavod/
125,Дзержинский,Коломенская,https://nsk.ginfo.ru/ulicy/kolomenskaya_ulica/
126,"Дзержинский, Центральный",Кольцова,https://nsk.ginfo.ru/ulicy/ulica_kolcova/
127,Дзержинский,Комбинатская,https://nsk.ginfo.ru/ulicy/kombinatskaya_ulica/
128,Дзержинский,Комбинатский,https://nsk.ginfo.ru/ulicy/kombinatskiy_pereulok/
129,Дзержинский,Кометная,https://nsk.ginfo.ru/ulicy/kometnaya_ulica/
130,"Дзержинский, Октябрьский",Коминтерна,https://nsk.ginfo.ru/ulicy/ulica_kominterna/
131,Дзержинский,Королева,https://nsk.ginfo.ru/ulicy/ulica_koroleva/
132,"Дзержинский, Калининский",Костонаева,https://nsk.ginfo.ru/ulicy/ulica_kostonaeva/
133,"Дзержинский, Октябрьский, Центральный",Кошурникова,https://nsk.ginfo.ru/ulicy/ulica_koshurnikova/
134,"Дзержинский, Октябрьский",Красина,https://nsk.ginfo.ru/ulicy/ulica_krasina/
135,Дзержинский,Красноводская,https://nsk.ginfo.ru/ulicy/krasnovodskaya_ulica/
136,"Дзержинский, Центральный",Крестьянская,https://nsk.ginfo.ru/ulicy/krestyanskaya_ulica/
137,"Дзержинский, Заельцовский, Калининский",Кропоткина,https://nsk.ginfo.ru/ulicy/ulica_kropotkina/
138,Дзержинский,Куприна,https://nsk.ginfo.ru/ulicy/ulica_kuprina/
139,Дзержинский,Курильская,https://nsk.ginfo.ru/ulicy/kurilskaya_ulica/
140,Дзержинский,Лазарева,https://nsk.ginfo.ru/ulicy/ulica_lazareva/
141,Дзержинский,Ландшафтная,https://nsk.ginfo.ru/ulicy/landshaftnaya_ulica/
142,Дзержинский,Ландшафтный 1-й,https://nsk.ginfo.ru/ulicy/1-y_landshaftnyy_pereulok/
143,Дзержинский,Ландшафтный 2-й,https://nsk.ginfo.ru/ulicy/2-y_landshaftnyy_pereulok/
144,Дзержинский,Левитана,https://nsk.ginfo.ru/ulicy/ulica_levitana/
145,Дзержинский,Левый Берег Каменки,https://nsk.ginfo.ru/ulicy/ulica_levyy_bereg_kamenki/
146,Дзержинский,Легкий 1-й,https://nsk.ginfo.ru/ulicy/1-y_legkiy_proezd/
147,Дзержинский,Легкий 2-й,https://nsk.ginfo.ru/ulicy/2-y_legkiy_proezd/
148,Дзержинский,Летчика Петрова,https://nsk.ginfo.ru/ulicy/ulica_letchika_petrova/
149,Дзержинский,Липецкая,https://nsk.ginfo.ru/ulicy/lipeckaya_ulica/
150,Дзержинский,Лирическая,https://nsk.ginfo.ru/ulicy/liricheskaya_ulica/
151,"Дзержинский, Центральный",Ломоносова,https://nsk.ginfo.ru/ulicy/ulica_lomonosova/
152,Дзержинский,Лучезарная,https://nsk.ginfo.ru/ulicy/luchezarnaya_ulica/
153,Дзержинский,Мажорный,https://nsk.ginfo.ru/ulicy/mazhornyy_pereulok/
154,Дзержинский,Макетная,https://nsk.ginfo.ru/ulicy/maketnaya_ulica/
155,Дзержинский,Малая Айвазовского,https://nsk.ginfo.ru/ulicy/malaya_ulica_ayvazovskogo/
156,Дзержинский,Мелодичная,https://nsk.ginfo.ru/ulicy/melodichnaya_ulica/
157,"Дзержинский, Калининский",Менделеева,https://nsk.ginfo.ru/ulicy/pereulok_mendeleeva/
158,Дзержинский,Минорный,https://nsk.ginfo.ru/ulicy/minornyy_pereulok/
159,Дзержинский,Михаила Нарольского,https://nsk.ginfo.ru/ulicy/ulica_mihaila_narolskogo/
160,"Дзержинский, Калининский",МОПРа,https://nsk.ginfo.ru/ulicy/ulica_mopra/
161,Дзержинский,Москворецкая,https://nsk.ginfo.ru/ulicy/moskvoreckaya_ulica/
162,Дзержинский,Музыкальная,https://nsk.ginfo.ru/ulicy/muzykalnaya_ulica/
163,Дзержинский,Надсона,https://nsk.ginfo.ru/ulicy/ulica_nadsona/
164,Дзержинский,Науки,https://nsk.ginfo.ru/ulicy/ulica_nauki/
165,Дзержинский,Национальная,https://nsk.ginfo.ru/ulicy/nacionalnaya_ulica/
166,Дзержинский,Национальная 2-я,https://nsk.ginfo.ru/ulicy/2-ya_nacionalnaya_ulica/
167,"Дзержинский, Октябрьский",Никитина,https://nsk.ginfo.ru/ulicy/ulica_nikitina/
168,Дзержинский,Николая Мейсака,https://nsk.ginfo.ru/ulicy/ulica_nikolaya_meysaka/
169,"Дзержинский, Центральный",Николая Островского,https://nsk.ginfo.ru/ulicy/ulica_nikolaya_ostrovskogo/
170,"Дзержинский, Калининский",Новая Заря,https://nsk.ginfo.ru/ulicy/ulica_novaya_zarya/
171,Дзержинский,Новороссийская,https://nsk.ginfo.ru/ulicy/novorossiyskaya_ulica/
172,Дзержинский,Обручева,https://nsk.ginfo.ru/ulicy/ulica_obrucheva/
173,Дзержинский,Огинского,https://nsk.ginfo.ru/ulicy/ulica_oginskogo/
174,"Дзержинский, Калининский",Олеко Дундича,https://nsk.ginfo.ru/ulicy/ulica_oleko_dundicha/
175,Дзержинский,Онежская,https://nsk.ginfo.ru/ulicy/onezhskaya_ulica/
176,"Дзержинский, Калининский",Осоавиахима,https://nsk.ginfo.ru/ulicy/ulica_osoaviahima/
177,Дзержинский,Отдыха,https://nsk.ginfo.ru/ulicy/ulica_otdyha/
178,Дзержинский,Павла Кондратенко,https://nsk.ginfo.ru/ulicy/ulica_pavla_kondratenko/
179,Дзержинский,Памятная,https://nsk.ginfo.ru/ulicy/pamyatnaya_ulica/
180,"Дзержинский, Центральный",Партизанская,https://nsk.ginfo.ru/ulicy/partizanskaya_ulica/
181,Дзержинский,Патриотическая,https://nsk.ginfo.ru/ulicy/patrioticheskaya_ulica/
182,Дзержинский,Пенсионер-учитель,https://nsk.ginfo.ru/ulicy/snt_pensioner-uchitel/
183,Дзержинский,Печатник,https://nsk.ginfo.ru/ulicy/st_pechatnik/
184,Дзержинский,Печерская,https://nsk.ginfo.ru/ulicy/pecherskaya_ulica/
185,"Дзержинский, Центральный",Писарева,https://nsk.ginfo.ru/ulicy/ulica_pisareva/
186,Дзержинский,Пищевик,https://nsk.ginfo.ru/ulicy/st_pischevik/
187,"Дзержинский, Калининский",Планетная,https://nsk.ginfo.ru/ulicy/planetnaya_ulica/
188,Дзержинский,Пойменная,https://nsk.ginfo.ru/ulicy/poymennaya_ulica/
189,Дзержинский,Пойменная 2-я,https://nsk.ginfo.ru/ulicy/2-ya_poymennaya_ulica/
190,Дзержинский,Ползунова,https://nsk.ginfo.ru/ulicy/ulica_polzunova/
191,Дзержинский,Полякова,https://nsk.ginfo.ru/ulicy/ulica_polyakova/
192,"Дзержинский, Октябрьский",Поселковая,https://nsk.ginfo.ru/ulicy/poselkovaya_ulica/
193,Дзержинский,Поселковый,https://nsk.ginfo.ru/ulicy/poselkovyy_pereulok/
194,Дзержинский,Поселковый 2-й,https://nsk.ginfo.ru/ulicy/2-y_poselkovyy_pereulok/
195,Дзержинский,Потемкина,https://nsk.ginfo.ru/ulicy/pereulok_potemkina/
196,Дзержинский,Почтовая,https://nsk.ginfo.ru/ulicy/pochtovaya_ulica/
197,Дзержинский,Почтовый 1-й,https://nsk.ginfo.ru/ulicy/1-y_pochtovyy_pereulok/
198,Дзержинский,Почтовый 2-й,https://nsk.ginfo.ru/ulicy/2-y_pochtovyy_pereulok/
199,Дзержинский,Почтовый 3-й,https://nsk.ginfo.ru/ulicy/3-y_pochtovyy_pereulok/
200,Дзержинский,Почтовый 4-й,https://nsk.ginfo.ru/ulicy/4-y_pochtovyy_pereulok/
201,Дзержинский,Почтовый 5-й,https://nsk.ginfo.ru/ulicy/5-y_pochtovyy_pereulok/
202,Дзержинский,Почтовый 6-й,https://nsk.ginfo.ru/ulicy/6-y_pochtovyy_pereulok/
203,Дзержинский,Почтовый 7-й,https://nsk.ginfo.ru/ulicy/7-y_pochtovyy_pereulok/
204,Дзержинский,Почтовый 8-й,https://nsk.ginfo.ru/ulicy/8-y_pochtovyy_pereulok/
205,Дзержинский,Почтовый 9-й,https://nsk.ginfo.ru/ulicy/9-y_pochtovyy_pereulok/
206,Дзержинский,Почтовый Лог,https://nsk.ginfo.ru/ulicy/ulica_pochtovyy_log/
207,Дзержинский,Праздничная,https://nsk.ginfo.ru/ulicy/prazdnichnaya_ulica/
208,Дзержинский,Приисковая,https://nsk.ginfo.ru/ulicy/priiskovaya_ulica/
209,"Дзержинский, Октябрьский",Приовражная,https://nsk.ginfo.ru/ulicy/priovrazhnaya_ulica/
210,Дзержинский,Промкирпичная,https://nsk.ginfo.ru/ulicy/promkirpichnaya_ulica/
211,Дзержинский,Промышленная,https://nsk.ginfo.ru/ulicy/promyshlennaya_ulica/
212,Дзержинский,Профилактическая,https://nsk.ginfo.ru/ulicy/profilakticheskaya_ulica/
213,"Дзержинский, Центральный",Пушкина,https://nsk.ginfo.ru/ulicy/ulica_pushkina/
214,Дзержинский,Рабочая 1-я,https://nsk.ginfo.ru/ulicy/1-ya_rabochaya_ulica/
215,Дзержинский,Рабочая 4-я,https://nsk.ginfo.ru/ulicy/4-ya_rabochaya_ulica/
216,Дзержинский,Рабочая 5-я,https://nsk.ginfo.ru/ulicy/5-ya_rabochaya_ulica/
217,Дзержинский,Рабочий 2-й,https://nsk.ginfo.ru/ulicy/2-y_rabochiy_pereulok/
218,Дзержинский,Рабочий 3-й,https://nsk.ginfo.ru/ulicy/3-y_rabochiy_pereulok/
219,Дзержинский,Рабочий 4-й,https://nsk.ginfo.ru/ulicy/4-y_rabochiy_pereulok/
220,Дзержинский,Рабочий 5-й,https://nsk.ginfo.ru/ulicy/5-y_rabochiy_pereulok/
221,Дзержинский,Рабочий 6-й,https://nsk.ginfo.ru/ulicy/6-y_rabochiy_pereulok/
222,Дзержинский,Ракета,https://nsk.ginfo.ru/ulicy/st_raketa/
223,Дзержинский,Репина,https://nsk.ginfo.ru/ulicy/proezd_repina/
224,Дзержинский,Республиканская,https://nsk.ginfo.ru/ulicy/respublikanskaya_ulica/
225,Дзержинский,Рылеева,https://nsk.ginfo.ru/ulicy/ulica_ryleeva/
226,Дзержинский,Рябина,https://nsk.ginfo.ru/ulicy/st_ryabina/
227,Дзержинский,Садовод-Мичуринец,https://nsk.ginfo.ru/ulicy/snt_sadovod-michurinec/
228,"Дзержинский, Калининский",Светлая,https://nsk.ginfo.ru/ulicy/svetlaya_ulica/
229,Дзержинский,Севастопольская,https://nsk.ginfo.ru/ulicy/sevastopolskaya_ulica/
230,Дзержинский,Седова,https://nsk.ginfo.ru/ulicy/ulica_sedova/
231,Дзержинский,Седова 1-й,https://nsk.ginfo.ru/ulicy/1-y_pereulok_sedova/
232,Дзержинский,Седова 2-й,https://nsk.ginfo.ru/ulicy/2-y_pereulok_sedova/
233,Дзержинский,Седова 3-й,https://nsk.ginfo.ru/ulicy/3-y_pereulok_sedova/
234,"Дзержинский, Центральный",Селезнева,https://nsk.ginfo.ru/ulicy/ulica_selezneva/
235,Дзержинский,Сибирский садовод,https://nsk.ginfo.ru/ulicy/st_sibirskiy_sadovod/
236,Дзержинский,Сивашская,https://nsk.ginfo.ru/ulicy/sivashskaya_ulica/
237,Дзержинский,Сивашский 1-й,https://nsk.ginfo.ru/ulicy/1-y_sivashskiy_pereulok/
238,Дзержинский,Сивашский 2-й,https://nsk.ginfo.ru/ulicy/2-y_sivashskiy_pereulok/
239,Дзержинский,Скрябина,https://nsk.ginfo.ru/ulicy/ulica_skryabina/
240,"Дзержинский, Калининский",Советской Сибири,https://nsk.ginfo.ru/ulicy/ulica_sovetskoy_sibiri/
241,Дзержинский,Состязания,https://nsk.ginfo.ru/ulicy/ulica_sostyazaniya/
242,Дзержинский,Спринтерская,https://nsk.ginfo.ru/ulicy/sprinterskaya_ulica/
243,Дзержинский,Спринтерский 1-й,https://nsk.ginfo.ru/ulicy/1-yy_sprinterskiy_pereulok/
244,Дзержинский,Спринтерский 2-й,https://nsk.ginfo.ru/ulicy/2-y_sprinterskiy_pereulok/
245,Дзержинский,Ставропольская,https://nsk.ginfo.ru/ulicy/stavropolskaya_ulica/
246,Дзержинский,Ставропольский 1-й,https://nsk.ginfo.ru/ulicy/1-y_stavropolskiy_pereulok/
247,Дзержинский,Ставропольский 2-й,https://nsk.ginfo.ru/ulicy/2-y_stavropolskiy_pereulok/
248,Дзержинский,Ставропольский 3-й,https://nsk.ginfo.ru/ulicy/3-y_stavropolskiy_pereulok/
249,Дзержинский,Ставропольский 4-й,https://nsk.ginfo.ru/ulicy/4-y_stavropolskiy_pereulok/
250,Дзержинский,Станичная,https://nsk.ginfo.ru/ulicy/stanichnaya_ulica/
251,Дзержинский,Стрелковая,https://nsk.ginfo.ru/ulicy/strelkovaya_ulica/
252,Дзержинский,Сурикова,https://nsk.ginfo.ru/ulicy/proezd_surikova/
253,Дзержинский,Суркова,https://nsk.ginfo.ru/ulicy/ulica_surkova/
254,"Дзержинский, Калининский",Театральная,https://nsk.ginfo.ru/ulicy/teatralnaya_ulica/
255,Дзержинский,Техническая,https://nsk.ginfo.ru/ulicy/tehnicheskaya_ulica/
256,Дзержинский,Толбухина,https://nsk.ginfo.ru/ulicy/ulica_tolbuhina/
257,Дзержинский,Трактовая,https://nsk.ginfo.ru/ulicy/traktovaya_ulica/
258,"Дзержинский, Калининский",Трикотажная,https://nsk.ginfo.ru/ulicy/trikotazhnaya_ulica/
259,Дзержинский,Трикотажный 1-й,https://nsk.ginfo.ru/ulicy/1-y_trikotazhnyy_pereulok/
260,Дзержинский,Трикотажный 10-й,https://nsk.ginfo.ru/ulicy/10-y_trikotazhnyy_pereulok/
261,Дзержинский,Трикотажный 2-й,https://nsk.ginfo.ru/ulicy/2-y_trikotazhnyy_pereulok/
262,Дзержинский,Трикотажный 3-й,https://nsk.ginfo.ru/ulicy/3-y_trikotazhnyy_pereulok/
263,Дзержинский,Трикотажный 4-й,https://nsk.ginfo.ru/ulicy/4-y_trikotazhnyy_pereulok/
264,Дзержинский,Трикотажный 5-й,https://nsk.ginfo.ru/ulicy/5-y_trikotazhnyy_pereulok/
265,Дзержинский,Трикотажный 7-й,https://nsk.ginfo.ru/ulicy/7-y_trikotazhnyy_pereulok/
266,Дзержинский,Трикотажный 8-й,https://nsk.ginfo.ru/ulicy/8-y_trikotazhnyy_pereulok/
267,Дзержинский,Трикотажный 9-й,https://nsk.ginfo.ru/ulicy/9-y_trikotazhnyy_pereulok/
268,Дзержинский,Трикотажстроя,https://nsk.ginfo.ru/ulicy/ulica_trikotazhstroya/
269,Дзержинский,Тютчева,https://nsk.ginfo.ru/ulicy/ulica_tyutcheva/
270,"Дзержинский, Калининский",Учительская,https://nsk.ginfo.ru/ulicy/uchitelskaya_ulica/
271,"Дзержинский, Железнодорожный, Октябрьский, Центральный",Фрунзе,https://nsk.ginfo.ru/ulicy/ulica_frunze/
272,Дзержинский,Фурманова,https://nsk.ginfo.ru/ulicy/ulica_furmanova/
273,Дзержинский,Хороводная,https://nsk.ginfo.ru/ulicy/horovodnaya_ulica/
274,Дзержинский,Циолковского,https://nsk.ginfo.ru/ulicy/ulica_ciolkovskogo/
275,Дзержинский,Чемпионская,https://nsk.ginfo.ru/ulicy/chempionskaya_ulica/
276,Дзержинский,Черенкова,https://nsk.ginfo.ru/ulicy/ulica_cherenkova/
277,Дзержинский,Черноморская,https://nsk.ginfo.ru/ulicy/chernomorskaya_ulica/
278,"Дзержинский, Калининский",Чкалова,https://nsk.ginfo.ru/ulicy/ulica_chkalova/
279,Дзержинский,Швейник,https://nsk.ginfo.ru/ulicy/st_shveynik/
