,name,address,description
38,Музей Центрального района (Музей Новосибирска),"ул. Романова, 26, Новосибирск","Развлечение с названием 'Музей Центрального района (Музей Новосибирска)'. Адрес: ул. Романова, 26 Стоимость билетов: 80/60 р. Муниципальное бюджетное учреждение города Новосибирска «Музей истории развития Центрального района» был 30 мая 2007 г. На сегодняшний день в Музее хранится более 3000 предметов. В рамках экспозиционно-выставочной деятельности Музей сотрудничает со многими предприятиями и организациями, расположенными на территории Центрального района, в первую очередь с его знаменитыми театрами, планируется продолжить сотрудничество с художественным училищем, архитектурной академией, институтом легкой промышленности, союзом художников, отдельными талантливыми людьми разных профессии и возрастов. . График работы 'Музей Центрального района (Музей Новосибирска)': вт, чт, пт 10:00-19:00, ср 11:00-20:00, сб 10:00-18:00. Категория отдыха 'Музей Центрального района (Музей Новосибирска)': Музеи и галереи. Музей Центрального района (Музей Новосибирска) располагается в районе: Центральный, г. Новосибирск"
39,Велнес-центр «Мира Термы»,"Новосибирск, ул. Окружная, 33","Развлечение с названием 'Велнес-центр «Мира Термы»'. Адрес: Новосибирск, ул. Окружная, 33 Стоимость билетов: Зона «Аква»: 3 часа –2250 р, безлимит – 2850 р; Зона «Аква»+«Бани»: 3 часа – 2600 р, безлимит – 3200 р Городской велнес-центр, где можно провести целый день как на курорте в любое время года: плавать, греться в бане, расслабляться в джакузи, любоваться сосновым лесом и напрочь забыть о том, что всего в десяти минутах — шумный центр города. Просто выбираешь время отдыха — на 3 часа или целый день, — и погружаешься в мир релакса и оздоровления. Центр включает несколько зон, и побывать нужно в каждой: Зона «Аква» Стильное пространство с панорамными окнами. Зона включает множество локаций: огромный бассейн с баром у воды, разнообразие гидромассажных установок, контрастная дорожка Кнейпа, плескательный бассейн для малышей с игрушками, соляные озёра (солёность в них — как в Мраморном и Азовском морях) и соляная баня. Любовь гостей — ароматная цитрусовая сауна и круглогодичный выплывной подогреваемый бассейн. Плавать под открытым небом можно в любую погоду! Зона «Бани» Рай для тех, кто любит погреться: соляная пещера, фитосауна, хаммам, альпийская сенная баня Краксен, марокканский Расул с целебными грязями, уникальная шунгитовая баня, большая русская баня с электронной звонницей из 7 колоколов, баня «Горница» и русская баня для индивидуальных процедур — в галерее терм каждый может подобрать себе парную по душе. После жаркой бани — в зону контрастных процедур, где есть обливные вёдра, кадушка со снегом и уличная ледяная купель. Восстановиться после процедур можно в уютных зонах отдыха за чашкой ароматного чая. Для оздоровления гостей установлен источник с шунгитовой водой и минерализованная вода. Зона «Пляж» Комфортный летний отдых у бассейнов на берегу озера. Шезлонги можно забронировать заранее! Большая детская зона с плескательными бассейнами, песочницей и городком привлекает родителей с малышами. С детьми постарше комфортно отдыхать у бассейна «Семейный», а взрослые гости отлично проводят время на VIP-террасе у бассейна «Луна». В зоне «Пляж» есть вся необходимая инфраструктура: от удобных раздевалок, душевых и комнаты матери и ребёнка до уютного уличного кафе и Эколавки с полезными товарами. Зона «Тишина» (14+) Здесь взрослые гости найдут то, чего больше всего не хватает в повседневной жизни — тишину. Никаких разговоров, телефонов, внешних раздражителей. Среди локаций — комната звука с водяными матрасами и мягкими кроватями, янтарная комната с шезлонгами, традиционная японская ванна Офуро с горячей водой (42С), 8 индивидуальных ванн для флоатинга и чайная зона. Пары часов в зоне «Тишина» хватит для того, чтобы пополнить внутренние ресурсы, очистить ум и расслабить тело. Зона «Эдем» (14+) Пространство над цитрусовой сауной для женщин, доступна без доплаты всем гостьям зоны «Аква» от 14 лет. Ежедневно в этом пространстве проходят практики из области нутрициологии, косметологии, арт-терапии, а также практики, основанные на телесных техниках. Также здесь можно получить дополнительные услуги от мини-spa. Зона «Камнетека» Открыта в декабре 2023 года! Релакс-зона для восстановления после процедур с мягкими шезлонгами. Особенность пространства – коллекция природных минералов, каждый из которых несёт особую энергетику и по-своему воздействует на организ м. Ежедневно в этой зоне проходят практики с мастерами. Зона доступна бесплатно всем гостям зоны «Аква». Полезные практики и программы: Гости «Мира Термы» не просто отдыхают в многочисленных локациях центра. Аквааэробика, коллективное парение, самомассаж, прозвон колоколами, энергоомоложение, — каждые 30 минут в рамках посещения можно поучаствовать в практиках для оздоровления и релакса, разработанных велнес-мастерами. Ежедневно проходят часовые велнес-программы, каждую неделю – минимум 2 специальных мероприятия с приглашёнными музыкантами и мастерами, а также детские программы по выходны м. Дополнительные услуги: «Мира SPA» — партнёр центра, который с первого дня работы центра помогает гостям разнообразить отдых spa-процедурами. В меню — больше ста позиций: ритуалы в хаммаме, обертывания, скрабирования, spa-путешествия, косметология лица, массажи. На время дополнительных услуг время отдыха в термальном центре приостанавливается. Так что торопиться никуда не надо! Также на территории центра разместились кафе с полезным меню, тайское горячее мороженое, магазин Эколавка, рыбный пилинг, фототочка, зона экспресс-массажа. У проекта Мира есть еще одно особенное место для отдыха – Мира Парк в пригороде Новосибирска. Абсолютно уникальная зона с различными арт-объектами и инсталляциями, вписанными в ландшафт. Рекомендуем обязательно посетить его! Режим работы: ежедневно с 9:00 до 23:00, пятница – взрослый день, посещение гостей только от 14 лет включительно.  Стоимость билета для взрослого: Зона «Аква»: от 2250 р, зоны «Аква» + «Бани» – от 2600 р. . График работы 'Велнес-центр «Мира Термы»': ежедневно с 9:00 до 23:00, пятница – взрослый день, посещение гостей только от 14 лет включительно . Категория отдыха 'Велнес-центр «Мира Термы»': Бассейны. Велнес-центр «Мира Термы» располагается в районе: Ленинский, г. Новосибирск"
40,Мемориальный сквер павших в годы Гражданской войны,"Красный проспект, 32, Новосибирск","Развлечение с названием 'Мемориальный сквер павших в годы Гражданской войны'. Адрес: Красный проспект, 32 На территории сквера расположены две братских могилы, на одной из которых установлен монумент, и мемориал Героев Революции. Братская могила 104-х жертв Гражданской войны находится в западной части сквера возле стены, на которой размещено панно. Похороненные там люди были убиты в декабре 1919 года при отступлении армии Колчака на восток. 7 ноября 1922 года на братской могиле состоялось открытие монумента жертвам революции в виде сильной мускулистой руки, держащей факел и пробивающейся сквозь огромную каменную глыбу наружу. Создатели монумента — художник В. Н. Сибиряков и инженер А. И. Кудрявцев. 11 октября 1927 года в Сквере похоронен Пётр Щетинкин, один из руководителей советского партизанского движения в Сибири, убитый в этом же году в Улан-Баторе. В 1957 году было решено перезахоронить в сквере останки погибших в 1917 году революционеров. В том же году были установлены бюсты и мраморные постаменты революционеров П. Е. Щетинкина, В. Р. Романова, А. И. Петухова, Ф. П. Серебренникова, а спустя 20 лет — Ф. И. Горбаня, Ф. С. Шмурыгина, Д. М. Полковникова и Е. Б. Ковальчук. Мемориальное панно было также возведено в 1957 году, на нём изображены рабочие, крестьяне и солдаты, участвовавшие в революционных событиях. Создателем панно является художник-монументалист А. С. Чернобровцев. . График работы 'Мемориальный сквер павших в годы Гражданской войны': необходимо уточнить. Категория отдыха 'Мемориальный сквер павших в годы Гражданской войны': Памятники, арт-объекты. Мемориальный сквер павших в годы Гражданской войны располагается в районе: Центральный, г. Новосибирск"
41,Большой Новосибирский планетарий,"Ключ-Камышенское Плато, 1/1, Новосибирск","Развлечение с названием 'Большой Новосибирский планетарий'. Адрес: Ключ-Камышенское Плато, 1/1 Стоимость билетов: 320/250 р., экскурсии 300 р. Детско-юношеский астрофизический центр в Новосибирске больше известен как Большой Новосибирский планетарий. Это один из двух стационарных планетариев Новосибирска и, пожалуй, самый крупный астрофизический центр в азиатской части России. Детско-юношеский центр «Планетарий» открылся в День российской науки — 8 февраля 2012 года. С началом работы Детского Астрофизического центра жителей Новосибирска, в том числе, поздравлял российский экипаж Международной космической станции. Большой Новосибирский планетарий находится на одной из самых высоких точек Новосибирска — Ключ-Камышенском плато. На территории ДЮЦ «Планетарий» расположена башня, где хранится огромный маятник Фуко — на подвесе 15 метров, а также установлены масштабные экваториальные солнечные часы. Звездный зал Новосибирского планетария рассчитан на 114 мест. Радиус купола, покрывающего зал, составляет 26 метров, он расположен под углом 7° к горизонтальной плоскости. Это позволяет увидеть звездное небо в максимально приближенной к реальному пространству проекции. Помимо научно-просветительских лекций, интерактивных шоу и экскурсий, в Большом Новосибирском планетарии проводят дополнительные образовательные программы для детей дошкольного и школьного возраста. Здесь работают более 20 детских объединений, имеется студия по созданию «звездного» контента. В основное посещение Планетария входят различные полнокупольные программы в Звёздном зале и обзорная вводная экскурсия. С расписанием и подробной афишей мероприятий можно ознакомиться на сайте Большого Новосибирского планетария и на официальной странице Детского Астрофизического центра «ВКонтакте». «АСТРОНОМИЧЕСКАЯ ЭКСКУРСИЯ» Суббота, воскресенье 12:00, 14:00, 16:00, 18:00 Посещение обсерватории планетария: знакомство с астрономическим оборудованием, наблюдение Солнца в телескоп при ясной погоде. Продолжительность – ок. 40 минут.  Стоимость билета: 300 рублей «ЭКСКУРСИЯ В БАШНЮ ФУКО» Суббота, воскресенье 12:00, 14:00, 16:00, 18:00 Вт-пт 14:00, 16:00 Посещение Башни Фуко: наглядный эксперимент с маятником Фуко, подтверждающий суточное вращение Земли; подъем на смотровую площадку Башни Фуко. Продолжительность – ок. 30 минут.  Стоимость билета: 300 рублей. Шоу экспериментов «ПЛАНЕТА ФИЗИКИ» Суббота, воскресенье 12:00, 14:00, 16:00, 18:00 Вт-пт 14:00, 16:00 Интерактивная площадка научных шоу-экспериментов, которые понятно и увлекательно знакомят с реактивным движением, сверхпроводимостью, энергией вращательного движения и другими удивительными законами мира физики. Продолжительность – ок. 45 минут.  Стоимость билета: 300 рублей. . График работы 'Большой Новосибирский планетарий': Вт - Вскр: с 10:00 до 19:00; Пн - выходной. Категория отдыха 'Большой Новосибирский планетарий': Планетарий. Большой Новосибирский планетарий располагается в районе: Октябрьский, г. Новосибирск"
42,Пони-клуб «Серебряная подкова»,"ул. Планетная, 53, Новосибирск","Развлечение с названием 'Пони-клуб «Серебряная подкова»'. Адрес: ул. Планетная, 53 к6 Стоимость билетов: бесплатно Мини-ферма с оленями, козами, верблюдами, кроликами, минипигами и другими животными в «Берёзовой роще» или в парке и м. Кирова. Всех можно погладить (кроме страусов и павлинов) и покормить: вход бесплатный, а овощи или белый мох для оленей можно купить на входе. Весной много малышей: оленят, козлят, верблюжат. При клубе проводятся детские занятия по иппотерапии и просто прогулки по парку на лошади, пони или верблюде. Адреса:ул. Планетная, 53 к6, ул. Станиславского, 1а к4. . График работы 'Пони-клуб «Серебряная подкова»': 11:00-18:00. Категория отдыха 'Пони-клуб «Серебряная подкова»': Фермы и зверокафе. Пони-клуб «Серебряная подкова» располагается в районе: Дзержинский, г. Новосибирск"
43,Музей Этнографии Детства,"ул. Чаплыгина, 36, Новосибирск","Развлечение с названием 'Музей Этнографии Детства'. Адрес: ул. Чаплыгина, 36 Музей Этнографии Детства. Январь-апрель 2025 Областной Центр русского фольклора и этнографии был создан с целью содействия фольклорному движению в Новосибирской области и регионах Сибири. Здесь проводят экскурсии с рассказами о традиционных русских праздниках и обрядах с настоящими предметами крестьянского быта, занятия с детьми, концерты с гуслями и балалайкой, страшные сказки по вечерам, праздники-экскурсии «Как в старину Пасху праздновали» и другие. . График работы 'Музей Этнографии Детства': пн-вс 10:00-19:00 по предварительной записи, нерабочие месяцы: июнь-август. Категория отдыха 'Музей Этнографии Детства': Музеи и галереи. Музей Этнографии Детства располагается в районе: Железнодорожный, г. Новосибирск"
44,Страусиная ферма,"Колыванское шоссе 51 км, 1, Новосибирск","Развлечение с названием 'Страусиная ферма'. Адрес: Колыванское шоссе 51 км, 1 Стоимость билетов: 450/350 р. На страусиной ферме за Колыванью занимаются разведением животных от сельскохозяйственного направления до экзотических черных страусов и австралийских эму. Животные на ферме: кони породы «Орловский рысак», шетлендский пони, мини-аппалуза, домашний як, ослица, лисы рыжие и чернобурые, собаки крупных пород, песцы, бык, козлики, австралийские эму, черные африканские страусы, верблюд, лось, глухарь, фазан, гуси, куры и много кошек. Во время экскурсии по ферме можно не только посмотреть на зверушек, но и покормить и погладить, ведь многие из них ручные. Разрешаем привозить с собой морковь, нарезанную брусочками и яблоки, нарезанные дольками. На территории есть просторные открытые беседки, где можно организовать любое мероприятие: Дни Рождения с аниматором, корпоративы, свадьбы и многое другое. Приехать на ферму можно ежедневно, семейные экскурсии проводятся без записи, организованные группы по записи. Режим работы будние дни 16:00 - 18:00, выходные 10:00 - 18:00.  Стоимость экскурсии: взрослым – 450 рублей, детям до 14 лет – 350 рублей, детям до 3х лет – бесплатно. . График работы 'Страусиная ферма': будние дни 16:00-18:00, выходные 10:00-18:00. Категория отдыха 'Страусиная ферма': Фермы и зверокафе"
45,АРТ-Центр «Красный»,"Красный пр-т., 169, Новосибирск, Новосибирская обл., 630049","Развлечение с названием 'АРТ-Центр «Красный»'. Адрес: Красный пр-т., 169, Новосибирск, Новосибирская обл., 630049 Стоимость билетов: Ср-Вс вход для взрослых - 100 рублей, дети до 16 лет - бесплатно. Пн, Вт – вход свободный «АРТ-Центр «Красный» –– уникальное пространство на карте Новосибирска, точка притяжения людей, неравнодушных к искусству и профессионалов, целостное отражение современных течений живописи, графики и пластики. Здесь организовываются художественные выставки, ведется просветительская работа, проводятся межрегиональные конкурсы в области искусства и уникальные события. Центр регулярно знакомит жителей и гостей города с сибирскими художниками, помогает понимать и принимать современное искусство во всех его проявлениях: проводит экскурсии с организованными группами для детей и взрослых, проводит лекции по изобразительному искусству и мастер-классы по творчеству, литературно-музыкальные вечера, семинары и круглые столы. . График работы 'АРТ-Центр «Красный»': Ежедневно с 11.00-19.00. Категория отдыха 'АРТ-Центр «Красный»': Арт-пространства и лофты"
46,Мозаика «Птицы тоже Люди»,"ул. Ленина, 7, Новосибирск","Развлечение с названием 'Мозаика «Птицы тоже Люди»'. Адрес: ул. Ленина, 7 «Птицы тоже Люди» — арт-проект, созданный руками горожан и мастеров мозаичных студий Adelaida Rosh и ArtMosaic. Разноцветная стая птиц взлетает на стене кинотеатра «Победа». . График работы 'Мозаика «Птицы тоже Люди»': необходимо уточнить. Категория отдыха 'Мозаика «Птицы тоже Люди»': Памятники, арт-объекты. Мозаика «Птицы тоже Люди» располагается в районе: Железнодорожный, Центральный, Центральный, г. Новосибирск"
47,Парк культуры и отдыха «Березовая роща»,"ул. Планетная, 53, Новосибирск","Развлечение с названием 'Парк культуры и отдыха «Березовая роща»'. Адрес: ул. Планетная, 53 Парк Березовая роща – расположенный в Дзержинском районе на пересечении ул. Кошурникова и проспекта Дзержинского. Березовая роща является одной из главных природных достопримечательностей города Новосибирска, занимающей 23 гектара. Территория парка поделена на 4 основных зоны, центральной и самой обширной из которых выступает прогулочная – часть парка, где посетители могут совершить променад и отдохнуть. Для активного отдыха в парке есть спортивная зона, где находятся специально оборудованные площадки, теннисный корт, проложены беговые дорожки. Так же в парке оборудована зона для игр, которая представлена для детей в виде игровых площадок и аттракционов. Из достопримечательностей в парке находятся Храм Успения Пресвятой Богородицы и мемориальная зона, на которой расположены памятники. Для гостей парка Березовая роща предусмотрен широкий спектр услуг, таких как наличие аренды уютных беседок в летнее время, пунктов проката велосипедов, электромобилей, коньков, лыж, снегоходов, «ватрушек». Зимой на территории парка заливаю каток, где все желающие могут покататься на коньках. Кроме того, зимой доступно катание на собачьих упряжках и на лошадях. В парке функционируют 2 сцены, на которых проходят праздники и шоу-программы, а для любителей подвигаться под музыку работает танцплощадка. Парк Березовая роща полон уникальными, известными на весь Новосибирск достопримечательностями. У главного входа возвышаются ярко-синие купола храма Успения Богородицы, а в западной части Березовой рощи за зданием КЗ «Евразия» расположен монумент воинам, скончавшимся от ран в эвакуированных в Новосибирск госпиталях в период ВОВ. Здесь увековечены имена 109 воинов. В 2013 году в честь 120-летия города Новосибирска в парке Березовая роща был открыт четырехъярусный фонтан, оборудованный подсветкой. В парке работает мини-зоопарк, где проживают различные животные, на которых можно посмотреть вблизи, а так же всегда ждет своих посетителей пони-ферма «Серебряная подкова». Летом на территории парка Березовая роща работает веревочный парк «У-РА», в котором имеются взрослые и детские трассы на высоте от 2 до 10 метров, включающие в себя веревочные и деревянные мостики, лестницы и сети. Историческая справка В 1963 году на этом участке было решено заложить парк, поэтому активно разрабатывалась проектная документация по освоению территории в этом районе. До 1971 года Березовая роща считалась филиалом Центрального парка Новосибирска и в период с 1965 по 1970 год, благоустройством парка занимались пионеры и комсомольцы, так что в сентябре 1970 года парк был сдан в эксплуатацию, а с 1 июля 1971 года эксплуатация была принята. Эта дата и является датой официального открытия парка «Березовая роща». . График работы 'Парк культуры и отдыха «Березовая роща»': 10:00 — 21:00. Категория отдыха 'Парк культуры и отдыха «Березовая роща»': Парки. Парк культуры и отдыха «Березовая роща» располагается в районе: Дзержинский, г. Новосибирск"
48,Мультимедийный исторический парк «Россия – Моя история»,"ул. Василия Старощука, 24, Новосибирск","Развлечение с названием 'Мультимедийный исторический парк «Россия – Моя история»'. Адрес: ул. Василия Старощука, 24 Стоимость билетов: 300/200 р. Мультимедийные парки «Россия – Моя история» в 23 городах России – это авторские инсталляции, кинофильмы, интерактивы и квесты. Сейчас в мультимедийном парке представлены выставки по истории России: «Рюриковичи», «Романовы», «ХХ век. От великих потрясений к Великой Победе», «Россия — моя история. 1945–2016», а также временные интерактивные выставки (уточняйте информацию в группе vk). . График работы 'Мультимедийный исторический парк «Россия – Моя история»': ср-пт 10:00-18:00, сб-вс 11:00-19:00. Категория отдыха 'Мультимедийный исторический парк «Россия – Моя история»': Музеи и галереи. Мультимедийный исторический парк «Россия – Моя история» располагается в районе: Октябрьский, г. Новосибирск"
49,Региональный центр волейбола «Локомотив-Арена»,"ул. Ипподромская, 18, Новосибирск","Развлечение с названием 'Региональный центр волейбола «Локомотив-Арена»'. Адрес: ул. Ипподромская, 18 «Локомотив-Арена» ‒ это один из крупнейших региональных центров волейбола за Уралом! Центр был открыт 3 октября 2020 года и отвечает всем стандартам для проведения крупнейших российских, европейских и международных соревнований. Помимо этого, спорткомплекс может принимать не только спортивные соревнования, но и любые культурно-массовые мероприятия. 20 тысяч кв.м ‒ площадь арены 5580 человек ‒ вместимость большой арены 600 человек ‒ вместимость тренировочной арены 700 машиномест ‒ вместимость парковки на территории спорткомплекса Также на «Локомотив-Арене» действует музей истории волейбольного клуба «Локомотив-Новосибирск». . График работы 'Региональный центр волейбола «Локомотив-Арена»': 09:00-18:00. Категория отдыха 'Региональный центр волейбола «Локомотив-Арена»': Стадионы. Региональный центр волейбола «Локомотив-Арена» располагается в районе: Центральный, г. Новосибирск"
50,"«Пилигримы», театр кукол","ул. Коммунистическая, 1, Новосибирск","Развлечение с названием '«Пилигримы», театр кукол'. Адрес: ул. Коммунистическая, 1 Театр «Пилигримы» - Первый независимый профессиональный театр кукол в Новосибирске, расположенный в Тихом Центре города. Здесь можно приятно, в обстановке домашнего спокойствия и уюта камерного пространства, погрузиться в особую атмосферу спектаклей. Каждый спектакль по-своему уникален, неповторим, создан с любовью и трепетом к каждой детали, настоящими профессионалами с многолетним творческим опыто м. К созданию спектаклей привлекаются также театральные художники, артисты других театров города, композиторы. В основе спектаклей лежит качественная литература, как русская и зарубежная классика, так и современная. В репертуаре представлены спектакли различных жанров от кукольных, беби-спектаклей, стомп-шоу и иммерсивных, для семейного просмотра, детей и взрослых. Постановки Елены и Владимира Кузнецовых не раз становились участниками и лауреатами профессиональных театральных премий и региональных, всероссийских и международных фестивалей, а их самих часто называют волшебниками. Здесь ценят Театр Кукол как высокое искусство. Приглашаем и вас прикоснуться к этому уникальному жанру. Обращаем ваше внимание: при входе в театр будьте готовы снять уличную обувь, при желании, можно взять с собой сменную, или остаться в носочках. . График работы '«Пилигримы», театр кукол': 10:00-20:00. Категория отдыха '«Пилигримы», театр кукол': Театры. «Пилигримы», театр кукол располагается в районе: Железнодорожный, г. Новосибирск"
51,Парк памяти Виктора Цоя и группы Кино,"ул. Сибиряков-Гвардейцев, 47, Новосибирск","Развлечение с названием 'Парк памяти Виктора Цоя и группы Кино'. Адрес: ул. Сибиряков-Гвардейцев, 47к6 В 2023 году в промзоне в Кировском районе появился своеобразный парк Виктора Цоя с его скульптурой и масштабными муралами. Инициатором проекта стал глава компании «Фанерный мир», торгующей стройматериалами и фанерой. На территории располагается 3 производственных ангара, 5 стен которых полностью отданы под граффити. Здесь перемежаются фрагменты концертов, портреты и детские фото, обложки альбомов, сцены из фильма «Игла» и обычные бытовые пейзажи времен 80-х. Одно из самых атмосферных мест — «Камчатка», где на входе можно посидеть на скамейке с Витей. А на одной из стен с настоящими бумажными объявлениями висит ящик для писем Вите, куда можно скидывать записки. Ворота ангаров оформлены с использованием символов группы «Кино». На территории есть скульптура Виктора Цоя, стоящего за барной стойкой. Автор памятника известный новосибирский скульптор Алексей Агриколянский. Скульптура выполнена из композитного материала. Художник, выполнивший граффити с Виктором Цоем – Василий Каптырев. А одна из стен была расписана вместе с группой новосибирских художников из Taknado büro. Вход на территорию свободный и открыт в любое время. Про этот и другие памятники музыкантам читайте в нашей статье. . График работы 'Парк памяти Виктора Цоя и группы Кино': необходимо уточнить. Категория отдыха 'Парк памяти Виктора Цоя и группы Кино': Памятники, арт-объекты. Парк памяти Виктора Цоя и группы Кино располагается в районе: Кировский, г. Новосибирск"
52,Лофт-парк «Подземка»,"Красный проспект, 161, Новосибирск","Развлечение с названием 'Лофт-парк «Подземка»'. Адрес: Красный проспект, 161 - цокольный этаж Лофт-Парк Подземка –– арт-пространство и главная концертная площадка Сибири, на которой проводится 90% всех концертов в регионе. Лофт- парк располагается на острие одного из основных транспортных узлов Новосибирска, в двух минутах ходьбы от станции метро Заельцовская. Все началось в 1988 году, когда в Новосибирске начали строить станцию метро «Заельцовская»,а вместе с ней монолитный железобетонный лоток и стены тупиков. Строили открытым методом и по окончании строительства нужно было что-то делать с оставшейся пустотой. Было решено возвести над ней бетонный купол. В связи с неблагоустроенностью пространства, идея подземного зала трансформировалась в идею открытия торгового центра «Белый Молл», которую из-за сложностей пространства также отменили. Подземка пустовала 28 лет и пользовалось популярностью у диггеров, как одно из самых больших заброшенных пространств города, пока в 2016 году группа креативных ребят не решила провести самую большую в Сибири вечеринку в честь Halloween – с этого и началась история Подземки, и всего за несколько лет своего существования площадка заняла статус самого популярного места Новосибирска. В Подземке выступали такие артисты как Children of Bodom, Lindemann, The Exploited, Pain, Eskimo Callboy, Attila, Adept, Mayhem, OOMPH!, КАСТА, Lumen, MORGENSHTERN,Элджей, ANACONDAZ, HammAli & Navai, Feduk, Pharaon, Noize MC и другие крупнейшие артисты со всего мира. Историческая справкаПодземка пустовала 28 лет и пользовалось популярностью у диггеров как одно из самых больших заброшенных пространств города, пока в 2016 году группа креативных ребят не решила провести самую большую в Сибири вечеринку в честь Halloween – с этого и началась история Подземки, и всего за несколько лет своего существования площадка заняла статус самого популярного места Новосибирска. . График работы 'Лофт-парк «Подземка»': Ежедневно 10:00-22:00. Категория отдыха 'Лофт-парк «Подземка»': Арт-пространства и лофты. Лофт-парк «Подземка» располагается в районе: Заельцовский, г. Новосибирск"
